h2,ch4,c2h6,c2h4,c2h2,act
1458,9,1812,0.0001,0.0001,1
2240,157,90,157,45,1
73,8,4,2,12,1
235,16,0.0001,35,0.0001,1
9340,995,60,6,7,1
33046,619,58,2,0.0001,1
8266,1061,22,0.0001,0.0001,1
230,15.9,16.3,1.9,2.4,1
109,16,0.0001,0.0001,0.0001,1
113,21,48,0.0001,4,1
1309,124,113,6,0.0001,1
1549.2,10.2,0.0001,53.19,0.0001,1
101,8.1,0.0001,3,0.0001,1
36036,4704,554,5,10,1
160,10,3,1,1,1
1076,95,4,71,231,1
407,28,15,21,0.0001,1
2240,560,380,450,940,1
92600,10200,1,2,0.0001,1
2587.2,112.25,4.704,1.4,0.0001,1
195.9,14.5,11.6,2.4,0.0001,1
180.85,0.574,0.234,0.188,0.0001,1
4480,560,380,403,896,1
1651,90,33,45,2,1
980,73,58,12,0.0001,1
6600,1000,38,2,19,1
56,61,75,32,31,1
2240,168,25,0.0001,0.0001,1
92600,10200,0.0001,0.0001,0.0001,1
24.3,15.7,6.4,11.2,29.8,1
485,35,29,6,0.0001,1
109,4,11,9,0.0001,1
16000,4000,500,8500,16000,1
2031,149,20,3,0.0001,1
870,77,73,54,14,1
106,4,2,1,0.0001,1
32930,2397,157,0.0001,0.0001,1
197,12,6.6,15,0.0001,1
117,17,1,3,1,1
160,24.7,38.5,0.0001,0.0001,1
134,13,156,0.0001,0.0001,1
166,21,38,6,0.0001,1
183,6,0.0001,5,0.0001,1
2240,157,90,45,45,1
6454,7,0.0001,0.0001,0.0001,1
240,20,5,28,96,1
65.2,4000,2000,2000,8000,1
143,4.37,0.62,0.02,0.02,1
30.1,112,0.0001,254,4536,1
120,18,0.0001,0.0001,0.0001,1
137,1740,249,8,8,1
23,4.7,16.3,3.5,0.0001,1
4879,230,2,170,480,1
301,1069,1060,1,1,1
716,14,134,5.3,0.0001,1
289,9,0.0001,0.03,0.0001,1
179,23,13,4,3,1
2177,49,9,7,0.6,1
7600,13,267,0.0001,0.0001,1
543,22,76,3.7,0.0001,1
186,3,1,0.0001,0.0001,1
4.1,3600,670,14,0.0001,1
210,110,3,84,700,1
254,149,20,3,0.0001,1
385,18342,2111,27,0.0001,1
843,123,38,2,2,1
208,53,35,20,0.0001,1
65.5,6.75,0.44,0.0001,0.0001,1
35,5,1,0.0001,0.0001,1
3559,19.4,104.1,6.4,3.8,1
10092,7.01,4.49,2.64,0.0001,1
1900,5.3,0.0001,0.0001,0.0001,1
307,5,1,6,29,1
225,360,25,169,828,1
78,2313,121,2159,6432,2
266,20,5,28,96,2
645,20,3.9,8.13,25.1,2
119,5.8,16,10.6,26.3,2
57,17.1,2.2,5.5,30.1,2
14.2,25,1,8,40,2
818,6,11.4,6.4,16.5,2
115,63,54,10,0.3,2
205,262,15,332,1827,2
101.72,5.78,4.7,9.7,5,2
135,7.1,3.3,20,6.8,2
47.5,13.4,18.2,49.8,36.3,2
6870,29,10,17,33,2
119,1049,207,440,705,2
60,1230,318,836,1560,2
385,120,41,411,1880,2
5.26,38.3,13,37,85.9,2
2510,3.5,0.68,1.2,5.2,2
650,22,6,6,7,2
153,5.2,0.0001,9.3,88,2
1790,28.8,50,82.3,171,2
256,133,12,168,385,2
60,7.6,27.5,9.7,14.4,2
151,23.3,1,2.1,26,2
9,6,3,26,482,2
274,187,22,230,1140,2
305,5399,530,6500,37565,2
176,285,31,957,7730,2
87,22,2,33,109,2
220,4.7,0.0001,8.7,89,2
274,20,11,13,28,2
155,30.2,4.9,26.2,60.2,2
137,86,13,110,317,2
63,8,23.3,7.9,12.3,2
292,24,2,27,30,2
217,4,1.4,1.5,9.51,2
13500,94,49,121,978,2
88.5,25.5,110,12.2,8.6,2
50,20,8,0.0001,6,2
60,27.65,7.13,16.92,53.87,2
25,27,24,9,13,2
37.9,22.9,4.5,9.6,15.3,2
18.34,1028,79,900,5500,2
1084,8,20,0.0001,21,2
497,10,4,4,4,2
32.4,60,8,53,159,2
19,0.0001,0.0001,28.2,66.4,2
210,202,139,208,1730,2
26,81,170,51,270,2
114,18,9,0.0001,278,2
7150,580,321,336,619,2
8,8,37.4,15,21.1,2
1607,10,0.0001,11,39,2
46,13.5,50.7,5,9.2,2
1027,3.9,0.8,4,13,2
37,27,5,33,97,2
200,100,33,161,541,2
392,652.9,47.7,75.7,68.7,2
12.4,7,0.0001,15,101,2
71,19,5,12,59,2
127,0.0001,0.0001,43,101,2
800,38,48.5,6.5,5.8,2
212,4,1.3,1.5,9.5,2
8200,14,4,0.0001,13,2
2800,27,6,12,29,2
195.7,39.3,64,654,168,2
235,10,3,1,1,2
441,1,2,7,52,2
110,10,20,66,182,2
88,33,8,29,111,2
531,32,4,18,65,2
9474,334.1,75,32,31,2
152,7.1,33,20,6.8,2
150,690,5,196,1180,2
75,17,4,7,38,2
43,26,7,19,133,2
1114,121.3,25.5,31.9,198.5,2
35,28,27,36,148,2
629,112.3,27.5,51.5,58.8,2
7940,30.28,6.11,47.69,175.88,2
7020,18,9,0.0001,11,2
151,163,27,233,692,2
2,2.8,47,0.0001,27.5,2
75.5,97,193,40,121,2
17,500,1,400,500,2
156,80,9,89,244,2
21,6,6,7,10,2
64,60,14,93,218,2
25,8.89,1.88,12.67,36.2,2
2770,10,0.0001,11,39,2
4419,267,18,355,2060,2
1500,34,23,15,60,3
10,77,22,170,240,3
1570,27,5,33,97,3
22,49,69.3,42,10.7,3
1249,67,7,53,104,3
1900,22,15,11,76,3
5900,346,32,313,196,3
3700,286,14,458,884,3
75,6110,212,4510,4040,3
323,22.8,108.4,12,7.5,3
127,42,98,10,33,3
3090,5,2,21,32,3
48,9,6,5,44,3
60,7.7,2.16,18.4,33.7,3
30,16.26,3.38,17.95,16.42,3
7020,188,8,166,769,3
1170,230,51,151,122,3
858,5.5,1.4,12.6,13.2,3
14.3,12,2,8,63,3
57,43,12,102,187,3
260,68,93,31,59,3
215,41,27,15,42,3
440,1440,97,1210,1760,3
77,0.0001,0.0001,43,101,3
60,615,80,916,1294,3
594,20,14,10,42,3
1820,185,17,271,399,3
123,11.8,15.5,43.6,83.3,3
90,48,14,117,131,3
26.6,153,82,45,236,3
46,6.5,15.3,69,15,3
13,151,9,89,412,3
305,24,0.0001,32,81,3
75,160,23,260,600,3
307,38,15,47,78,3
0.0001,3790,250,4620,277,3
88,2800,234,3500,3600,3
80,58,16.4,91.6,96.9,3
755,39.45,9.63,210,257,3
530,207,43,224,261,3
310,62,90,140,250,3
620,21.8,79.2,41.2,41.5,3
4906,111.9,22.7,122.5,169,3
85,4066,353,6552,12997,3
12,116,7,131,414,3
36,130,9,55,30,3
24,15,7,14,250,3
54.9,19,3,0.0001,40,3
112,719,188,1217,699,3
7,11,0.0001,7,146,3
219,402,16,298,1127,3
39.4,2000,355,3120,5390,3
95,1850,0.0001,2960,4410,3
0.0001,51,16,12,19,3
121,41,133,9,21,3
74,30.2,2.33,30.3,18.2,3
13,42,192,12,20,3
13,55,103,13,16,3
36,34,5,47,62,3
9,18,1,4,122,3
0.0001,28,27,15,80,3
820,660,54,712,763,3
10,3564,668,2861,2025,3
12,395,28,395,323,3
10,15,0.0001,0.0001,35,3
143.2,1110,175,1780,1830,3
18,14,19,6,56,3
27,370,56,606,1371,3
34,530,35,383,434,3
113,1500,68,1200,2300,3
45,1690,128,2810,3270,3
78,5,31,69,36,3
55,115,7,130,446,3
10,107,11,154,224,3
11,5020,323,3800,2540,3
34,20,69,41,31,3
187,5,2,21,21,3
93.5,14,1,9,43,3
48,1850,0.0001,2960,4410,3
124,255,18,312,325,3
8,1324,208,2793,7672,3
320,92.6,83.9,16.7,26.8,3
92,148,197,72,42,3
900,215,35,334,277,3
6,84.8,87.7,1002,212,3
0.0001,89,19,304,757,3
78,36,27,18,76,3
130,85,5,67,227,3
10,230,44,130,102,3
0.0001,405,35,365,634,3
19,50.7,9,62,65.9,3
6,28,8,31,32,3
11,4,0.0001,8,50,3
27,21,1,11,93,3
103,3,1,3,6,3
31.2,85,25,197,130,3
0.0001,15,7,14,26,3
6,22,2,33,109,3
181,21,0.0001,0.0001,40,3
14,45,57,15,39,3
1,28,4,15,107,3
50,229,32,404,460,3
21,345,85,266,250,3
160,230,54,610,760,3
16,325,38,181,244,3
122,8784,1404,9924,9671,3
4,735,87,1330,1740,3
157,1393,304,2817,3000,3
38,11.4,1.41,20.34,37.6,3
24.7,120,18,131,167,3
74.8,21,2,26,89,3
33,170,20,200,190,3
74,127,20,122,588,3
5,1115,138,1987,3675,3
181,87,11.5,163.59,185.21,3
36,333.59,177.52,1201.85,148.87,3
505.57,31,0.0001,66,94,3
25,200,42,102,68,3
14,13,5,43,319,3
180,10,1.3,13.5,17.6,3
59,49,4,50,399,3
185,1500,68,1200,800,3
1270,21,4,49,56,3
119,195.8,32.6,187.3,221.2,3
72,62,27,123,71,3
16,3790,250,4620,5830,3
41,0.0001,10,5,35,3
110.6,345,85,266,21,3
200,88,213,14,35,3
15,20,120,5.5,8.9,3
18,580,111,570,490,3
54,20.2,70,39,40.2,3
43,40,6.9,110,70,3
73,6,1,14,86,3
57,40.65,9.37,34.02,59.71,3
15,1200,83,1000,1100,3
23.51,13000,1850,29000,57000,3
2,6730,345,7330,10400,3
24,250,41,530,800,3
613,4,91,0.0001,34,3
109,9,4,16,81,3
35,31,0.0001,66,94,3
2,1430,0.0001,1140,1010,3
30.4,160,16,305,680,3
0.0001,16,19,58,106,3
2004,26.1,10.1,41.6,57.8,3
31,130,16,153,239,3
26,0.0001,0.0001,0.0001,44,3
152,15,3.1,23,25.3,3
300,98,315,30,0.0001,4
960,28,102,3,0.0001,4
0.67,167,230,18,0.0001,4
0.0001,47,113,10,0.0001,4
24,8.8,80,2.5,0.0001,4
220,68,136,9,0.0001,4
290,15,78,58,0.0001,4
8800,44,3,3,0.0001,4
39,65.2,103.9,8.1,0.0001,4
290,110,160,50,0.0001,4
0.0001,153,395,11.7,0.0001,4
15.55,73,179,11,0.0001,4
35.1,173,263,33,0.0001,4
0.0001,59,117,44,0.0001,4
156,138,83,16,0.0001,4
89,21,65,2,0.0001,4
1100,56,135,7,1,4
0.0001,187,609,13,0.0001,4
137,1740,951,867,128,4
425,56,72,70,0.0001,4
30,18,4,4,0.0001,4
107,26,147,6,0.0001,4
860,123,38,75,0.0001,4
0.0001,30,146,8,0.0001,4
8,28,136,8,0.0001,4
53,8.6,70.3,3.1,0.0001,4
400,137,173,34,0.0001,4
199,125,111,25,0.0001,4
244,66,62,2.6,0.0001,4
60,22,358,2.6,0.0001,4
6709,63,176,35,0.0001,4
86,271,465,32,0.0001,4
7,30,34,2.5,0.0001,4
300,86,155,21,6,4
20,131.9,39,11.7,0.0001,4
3910,40,11,0.5,0.0001,4
23,166,87,59,0.0001,4
135.65,16,88,7,0.0001,4
9,131,187,127,0.0001,4
8,27,67,7,0.0001,4
179,9180,0.0001,900,22,4
80,197,476.9,16.9,0.0001,4
416,215,555,18.4,0.0001,4
19.3,66,283,2.6,0.0001,4
137,140,24,120,0.0001,4
12705,24,80,5,0.0001,4
46,224,0.0001,45,0.0001,4
21,48,76,18,0.0001,4
165.62,38,93,32,0.0001,4
39,46,155,18,0.0001,4
86,49,192,9,0.0001,4
68,74,80,9,0.0001,4
172.9,8.9,119,4.4,0.0001,4
164,33.7,136,11.4,0.0001,4
20,3,0.8,0.7,0.0001,4
0.0001,262,41,28,0.0001,4
63,44,124,7,1,4
121,27,49,4,1,4
30,3,1,0.0001,0.0001,4
22400,14,191,90,0.0001,4
36,130,33,96,0.0001,4
17,68,157,19,0.0001,4
0.0001,161,271,35,0.0001,4
18,99,82,4.2,0.1,4
35,46,76,12,0.0001,4
6,38,296,14,0.0001,4
236,20.4,117,71,6.8,4
0.0001,30.1,82.3,13.6,0.0001,4
173,29,9,12,0.0001,4
110,100,85,17,0.0001,4
240,14,234,5,0.0001,4
5000,162,70,132,0.0001,4
94.96,94,78,13,2,4
41,475.35,242.3,524.45,3.29,4
100,38,210,13,0.0001,4
37800,38,93,8,0.0001,4
103.5,22,0.5,2.6,0.0001,4
200,7,92,5,0.0001,4
40280,14,124,7,1,4
116,130,47,2,0.0001,4
88,71,158,20,0.0001,4
105,21,118,0.0001,4,4
625,129,316,36,0.0001,4
134,18.7,97.4,79.5,4.7,4
181.5,44,106,28,0.0001,4
121,30,23,2.4,0.1,4
16000,132,61,17,0.0001,4
890,124,1,8,0.0001,4
2091,109,69,0.0001,0.0001,4
26788,68,124,15,0.0001,4
1950,45.5,68.7,3.8,0.0001,4
650,47,10,5.5,0.0001,4
92.8,8,2.5,2.5,0.0001,4
187,24.1,34.3,92.5,0.6,4
111.7,80,134,10,0.0001,4
85.87,60,2,7,0.0001,4
195,43,146,9,0.0001,4
60,73.18,27.14,56.88,0.0001,4
2240,35,213,17,0.0001,4
720,62,16,3,0.0001,4
109,123,67,52,0.0001,4
8,140,2,120,0.0001,4
169,28,72,9,0.0001,4
14.1,105,224,15,0.0001,4
124,62,95,5,0.0001,4
174,40,264,10,0.0001,4
179,174,267,15,0.0001,4
160,97,12,29,1.5,4
4,67,105,9,0.0001,4
1330,116,70,0.0001,0.0001,4
137,29,137,8,0.0001,4
595,49,42,58,0.0001,5
56,15,42,73,0.0001,5
716,175,75,50,4,5
4230,119,36,70,0.0001,5
142,302,27,33,0.0001,5
163,3450,520,1390,8,5
549,670,286,934,19,5
476,442,221,461,0.7,5
345,98,35,64,0.0001,5
234.5,65,22,58,0.0001,5
153,458.8,242.6,406.4,0.0001,5
1230,700,250,740,1,5
111,159,29,87,0.0001,5
500,63,20,51,0.0001,5
1000,143,23,101,0.0001,5
595,116,65,139,0.0001,5
102,177,37,52,0.0001,5
315,141,38,51,0.0001,5
67.8,139,160,343,0.0001,5
95,61.33,45.21,98.03,1.01,5
4127,123,7,18,0.0001,5
1570,80,258,741,6,5
800,3240,1432,2788,0.0001,5
29.1,226,68,192,0.0001,5
245,283,121,222,0.0001,5
61,5,81,172,0.0001,5
99,117,44.2,138,0.1,5
243,6,52,67,0.0001,5
2850,9739,2750,5113,0.0001,5
512,63,246,714,7,5
235.46,398,85,319,0.0001,5
120,32,28,55,0.0001,5
615,490,180,360,95,5
24,4000,1290,1560,6,5
56,0.224,0.045,0.067,0.002,5
85,4.9,81,172,0.0001,5
5900,34.6,14.2,21.7,0.0001,5
34,59.79,45.24,80.49,0.0001,5
475.3,47,27,62,0.0001,5
191,460.8,94.9,184.6,18.3,5
8200,78,266,779,7,5
0.0001,1.5,0.3,1.8,0.0001,5
530,610,259,260,9,5
4,56,33,77,0.0001,5
59,61000,26300,42100,1560,5
810,425,276,651,26,5
65.4,1466,331,1295,32,5
60,102,28,91,0.0001,5
84,120,90,198,3,5
145.88,1672,394,669,0.0001,5
5000,5,90,185,3,5
20000,41.9,20.2,44.2,0.38,5
10000,274,95,320,6.3,5
420,242,68,232,0.0001,5
70,161.6,94.1,193.6,0.56,5
47,96,19,57,0.0001,5
120,224,45,67,2,5
5100,90,42,63,0.2,5
535,419,269.5,614.1,0.35,5
41,130,33,96,0.1,5
65,340,42,480,14,6
545,966,299,1810,57,6
34,64064,72128,95650,0.0001,6
57,525,538,2925,16,6
161,1260,231,820,8,6
9,153,130,677,13,6
55,7.4,7.4,41.93,6.35,6
15,50.6,16.1,93,1.1,6
14,28,64,408,6,6
625,240,54,399,0.98,6
29,281,145,1216,22,6
17,1600,221,2010,26,6
115,0.0001,9,57,0.0001,6
13.2,369,144,1242,16,6
10,17424,7299,37043,158,6
27,25.5,31.5,93,1.8,6
20,143,34,222,2,6
42,1670,30,2050,40,6
24,106,170,871,6,6
16,1,0.0001,60,0.0001,6
16.4,150,64,379,0.0001,6
37,940,210,820,24,6
86,770,217,1508,72,6
29.9,754,172,1281,27,6
16,144,67,449,9,6
66,10500,1400,17700,750,6
0.0001,277,63,338,0.0001,6
87.2,31,23,148,0.0001,6
128,700,280,1700,36,6
14,26,6,55,0.0001,6
37,4290,626,6040,1230,6
130,14151,5332,23264,0.0001,6
43,278.53,58.86,492,2.95,6
16,47,144,628,0.0001,6
19,88,45,252,0.0001,6
79,306,73,579,0.0001,6
69,619,326,2480,0.0001,6
137,695,74,867,0.0001,6
111,103,159,19,0.6,6
0.0001,279,66,505,0.0001,6
25,23498,6047,34257,5188,6
20.37,147,27,150,0.0001,6
19,42,4,92,0.0001,6
88.7,240.95,61.32,514.53,13.53,6
24,7,12,65,0.0001,6
0.7,480,155,644,9,6
360,99.2,35.9,202.9,0.0001,6
31,334,172,812.5,37.7,6
24700,244,103,497,8.3,6
62,48,36,186,0.0001,6
295,0.0001,0.0001,142,0.0001,6
109,149.6,57.5,276,0.0001,6
47,450,146,898,116,6
144,51,12,54,0.0001,6
3,22400,2690,13440,1570,6
20,30,10,93,7.1,6
50,40,11,86,0.0001,6
151,3.4,0.0001,54,0.0001,6
46.9,35,2,110,0.0001,6
37,29,7,78,0.0001,6
670,2990,29990,26076,67,6
27,410.2,159,817.3,3.5,6
128,100,309,1365,7,6
160,334,172,812.5,37.7,6
172,335,171,812,37.8,6
1,8,8,100,6,6
507,1053,297,1440,17,6
24,20,4,87,0.0001,6
65,34,16,112,0.0001,6
4,2,1,63,0.0001,6
114,241,80,574,0.0001,6
117,167,48,481,7,6
11,13,2,127,0.0001,6
55,159,114,493,0.0001,6
1550,2740,816,5450,184,6
78,161,86,353,10,6
33,79,30,215,5,6
170,320,53,520,3.2,6
10,4,1,87,0.0001,6
2500,10500,4790,13500,6,6
56,286,96,928,7,6
53,189,25,295,5,6
0.0001,10,17,68,5,6
150,22,9,60,11,6
99,288,73,386,0.0001,6
27,51,0.0001,153,0.0001,6
480,1075,298,1132,0.0001,6
376,575,146,1092,0.0001,6
100,200,110,670,11,6
231,3997,1726,5584,0.0001,6
12,270,0.0001,275,0.0001,6
8.47,28.22,8.73,52.89,1.66,6
1860,4980,0.0001,10700,1600,6
28,62,16,76,0.0001,6
22.4,22.4,2.69,13.44,1.57,6
191,1359,166,1494,2,6
50,100,51,305,9,6
3420,7870,1500,6990,33,6
65,61,16,143,3,6
16,87,75,395,30,6
1374,2648,628,5376,298,6
135.88,362.42,125.22,826.65,3.74,6
34,174,52,361,0.0001,6
3675,6392,2500,7691,5,6
3930,2397,157,0,0,1
37800,1740,249,8,8,1
92600,10200,0,0,0,1
8266,1061,22,0,0,1
9340,995,60,6,7,1
36036,4704,554,5,10,1
33046,619,58,2,0,1
40280,1069,1060,1,1,1
26788,18342,2111,27,0,1
78,20,11,13,28,2
305,100,33,161,541,2
35,6,3,26,482,2
543,120,41,411,1880,2
1230,163,27,233,692,2
645,86,13,110,317,2
60,10,4,4,4,2
95,10,0,11,39,2
6870,1028,79,900,5500,2
10092,5399,530,6500,37565,2
650,81,170,51,270,2
210,22,6,6,7,2
385,60,8,53,159,2
4230,690,5,196,1180,2
7600,1230,318,836,1560,2
595,80,9,89,244,2
120,25,1,8,40,2
8,0,0,43,101,2
6454,2313,121,2159,6432,2
2177,1049,207,440,705,2
1790,580,321,336,619,2
1330,10,20,66,182,2
4,1,2,7,52,2
1900,285,31,957,7730,2
57,24,2,27,30,2
1000,500,1,400,500,2
440,89,19,304,757,3
210,43,12,102,187,3
2850,1115,138,1987,3675,3
7020,1850,0,2960,4410,3
545,130,16,153,239,3
7150,1440,97,1210,1760,3
620,325,38,181,244,3
120,31,0,66,94,3
755,229,32,404,460,3
5100,1430,0,1140,1010,3
13500,6110,212,4510,4040,3
1570,1110,175,1780,1830,3
3090,5020,323,3800,2540,3
1820,405,35,365,634,3
535,160,16,305,680,3
13,3,1,3,6,3
137,67,7,53,104,3
1084,188,8,166,769,3
34,21,4,49,56,3
7940,2000,355,3120,5390,3
150,130,9,55,30,3
8200,3790,250,4620,5830,3
260,215,35,334,277,3
75,15,7,14,26,3
530,345,85,266,250,3
60,5,2,21,21,3
90,28,8,31,32,3
220,77,22,170,240,3
5900,1500,68,1200,2300,3
420,250,41,530,800,3
2800,2800,234,3500,3600,3
99,170,20,200,190,3
310,230,54,610,760,3
800,160,23,260,600,3
1500,395,28,395,323,3
20000,13000,1850,29000,57000,3
305,85,25,197,130,3
1900,530,35,383,434,3
110,62,90,140,250,3
3700,1690,128,2810,3270,3
2770,660,54,712,763,3
245,120,18,131,167,3
1170,255,18,312,325,3
4419,3564,668,2861,2025,3
810,280,111,570,490,3
5000,1200,83,1000,1100,3
10000,6730,345,7330,10400,3
1570,735,87,1330,1740,3
8800,64064,72128,95650,0,6
6709,10500,1400,17700,750,6
1100,1600,221,2010,26,6
290,966,299,1810,57,6
2500,10500,4790,13500,6,6
1860,4980,0,10700,1600,6
860,1670,30,2050,40,6
150,22,9,60,11,6
400,940,210,820,24,6
6,2990,29990,26076,67,6
100,200,110,670,11,6
290,1260,231,820,8,6
1550,2740,816,5450,184,6
3910,4290,626,6040,1230,6
12705,23498,6047,34257,5188,6
1,8,8,100,6,6
300,700,280,1700,36,6
107,143,34,222,2,6
54.54,71.93,9.72,97.37,6.58,6
116.17,180.83,52.48,278.18,5.36,6
5760,540,40.5,1000,2760,3
50.18,171.12,74.7,148.69,0,5
20,80.2,24.6,68.6,0,5
28.97,10.94,1.64,6.96,4.36,6
15.9,55.98,22.33,137.25,0.21,6
47.6,19.1,4.21,27,0.72,4
40,102.6,32.3,183.3,0.2,3
50.35,65.58,21.05,99.13,0.96,6
2.369,119.69,21.891,20.15,0,4
120.45,210.91,35.7,285.39,15.86,6
87.17,17.26,3.94,12.87,32.81,2
5.48,48.82,96.81,489.57,0.3,6
605,1586,655,1901,2.3,6
1.96,2.1,0.5,0.67,1.59,2
462,212.4,31.6,0,0,1
25.4,54.97,8.72,77.84,10.47,6
131.7,116.55,19.4,183.97,0.32,6
7911.85,947.43,96.93,907.19,4844.48,2
21,2.01,0.46,1.48,5.61,2
676.74,969.55,570.57,2483.26,17.48,6
7238.97,695.16,231.6,2394.3,2308.92,3
101.5,24.45,8.97,128.37,0,6
73.8,148,38.9,181,1.76,6
34.76,5.52,2.09,4.97,10.36,2
18.19,21.99,6.58,46.92,3.97,6
1.6,1,0.1,0.9,1.6,2
22400,22400,2690,13440,1570,6
670,224,45,67,2,5
224,4.5,2,0,0,4
900,9180,0,900,22,4
0,224,0,45,0,4
470,4637,1300,448,0,4
65,20,10,5,0,4
53,39,3,4.5,0,4
219,44,3,3,0,4
37,47,10,5.5,0,4
34,30,34,2.5,0,4
14,62,16,3,0,4
65,34,16,112,0,6
0.7,1.5,0.3,1.8,0,5
0,0.2,0.1,0.13,0,5
48,40,11,0.5,0,4
130,140,24,120,0,4
86,8,2.5,2.5,0,4
6,3,0.8,0.7,0,4
50,3,1,0,0,4
55,22,0.5,2.6,0,4
78,66,62,2.6,0,4
1600,3600,670,14,0,1
6600,1000,38,2,19,1
88,9,0,0.03,0,1
2240,168,25,0,0,1
1950,123,38,2,2,1
2240,157,90,45,45,1
73,8,4,2,12,2
5000,4000,2000,2000,8000,2
24.3,15.7,6.4,11.2,29.8,2
2240,360,25,169,828,2
4480,560,380,403,896,2
2240,560,380,450,940,2
200,230,2,170,480,2
60,5,1,6,29,2
890,110,3,84,700,2
41,112,0,254,4536,2
16000,4000,500,8500,16000,3
21,75,24,126,0,6
111,559,243,707,0,5
23,59.9,18.6,56.9,0.1,5
740,2227,567,4258,42,6
388,860,230,1833,18.3,6
84,126,28.9,132.2,0.37,5
362,533,91,553,10,5
103,221.7,47.2,422,0.9,6
1769.7,554.2,145.2,1066.7,885.7,3
38,3.7,0,4.1,19.4,2
700,137.4,14.9,194.8,936.6,2
253,21.5,5.9,16.1,72.4,2
131,32,7.3,18.8,38.7,2
116,20,7,27,54,2
70,3.8,0.6,3.2,31.1,2
34,18.9,3.7,9.4,5.6,2
390,62.6,12.8,65.3,133.6,3
1270,3450,520,1390,8,5
3420,7870,1500,6990,33,5
360,610,259,260,9,5
1,27,49,4,1,5
3675,6392,2500,7691,5,5
48,610,29,10,0,5
12,18,4,4,0,5
66,60,2,7,0,5
1450,940,211,322,61,5
0,18900,410,540,330,5
960,4000,1290,1560,6,5
24700,61000,26300,42100,1560,5
14,44,124,7,1,5
2031,149,20,3,0,5
480,1075,298,1132,0,5
40000,400,70,600,6,5
